Establishment.ID,Name,Address.1,Address.2,City,Zip,Inspection.Date,Inspection.Results,Food.from.Approved.Source..C.,Food.Protected.from.Contamination..C.,Ill.Workers.Restricted..C.,Proper.Hand.Washing..C.,Cooling.Time.and.Temperature..C.,Cold.Holding.Temperature..C.,Hot.Holding.Temperature..C.,Cooking.Time.and.Temperature..C.,Reheating.Time.and.Temperature..C.,Hot.and.Cold.Running.Water.Provided..C.,Proper.Sewage.Disposal..C.,Toxic.Substances...Pesticides,Rodent.and.Insects,Nutritional.Labeling,Trans.Fat.Ban,No.Smoking.Sign.Posted,Inspection.Type,Owner,Category,Type,Latitude,Longitude,Location
46920,SPICY POBLANO,20024 GOSHEN RD.,,Gaithersburg,20879,2023-06-14,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,TAQUERIA EL NOPALITO LLC,Restaurant,Food,39.1865,-77.1891,POINT (-77.1891 39.1865)
33177,BASSETT'S RESTAURANT,19950 FISHER AVE,,Poolesville,20837,2023-06-06,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,ALL FLAVORS INC,Restaurant,Food,39.1459,-77.4169,POINT (-77.4169 39.1459)
19291,RICE PADDIES GRILL,4706 BETHESDA AVE,,Bethesda,20814,2023-05-31,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Visit/No Action,"LAN VU, PHONG TRAN RICE PADDIES GRILL, INC",Restaurant,Food,38.9809,-77.093,POINT (-77.093 38.9809)
43381,EGE MARKET,4923 ST ELMO AVE,,Bethesda,20814,2023-04-26,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,ELCIN YASA,Market,Food,38.9887,-77.0982,POINT (-77.0982 38.9887)
39718,LA BAGUETTE 20,2229 UNIVERSITY BLVD W.,,Silver Spring,20902,2023-04-18,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,Out of Compliance,Comprehensive,SKSS INC,Restaurant,Food,39.0418,-77.0487,POINT (-77.0487 39.0418)
30114,GRILL KABOB,11160 VEIRS MILL RD,,Silver Spring,20902,2023-04-13,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Environmental,GRILL KABOB OF WHEATON INC,Restaurant,Food,39.037,-77.0539,POINT (-77.0539 39.037)
22143,CAVA MEZZE GRILL - BETHESDA,4832 BETHESDA AVE.,,Bethesda,20814,2023-03-28,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"CAVAMEZZE GRILL BETHESDA, LLC.",Restaurant,Food,38.9807,-77.0968,POINT (-77.0968 38.9807)
35610,BANANA LEAVES ASIAN CAFE,160 CONGRESSIONAL LANE,,Rockville,20852,2023-03-24,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Re-inspection Billable,BANANA LEAVES ASIAN CAFE LLC,Restaurant,Food,39.0625,-77.1279,POINT (-77.1279 39.0625)
1908,INDOVIET,"2211-A UNIVERSITY BLVD., W.",,Silver Spring,20902,2023-03-22,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Reinspection,GARY AKBAR,Restaurant,Food,39.042,-77.0495,POINT (-77.0495 39.042)
35743,ISLAND ZEST,11252 GEORGIA AVE,,Silver Spring,20902,2023-02-23,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,ISLAND ZESTS LLC,Market,Food,39.0399,-77.0517,POINT (-77.0517 39.0399)
30754,RESEARCH DELI,1700 RESEARCH BLVD,#106,Rockville,20850,2023-02-17,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Visit/No Action,JINJU YOO,Market,Food,39.0963,-77.1829,POINT (-77.1829 39.0963)
37138,USG BARISTA,9631 GUDELSKY DR,,Rockville,20850,2023-02-17,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Visit/No Action,COMPASS GROUP USA INC.,Restaurant,Food,39.0933,-77.2009,POINT (-77.2009 39.0933)
29106,OLNEY STATION,3418 OLNEY LAYTONSVILLE RD,,Olney,20832,2023-02-13,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,SARDIS FUSION INC,Restaurant,Food,39.1528,-77.0677,POINT (-77.0677 39.1528)
30738,7-ELEVEN #27669C,19786 CRYSTAL ROCK DR,,Germantown,20874,2023-02-09,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,VANDAN INC,Market,Food,39.1801,-77.2623,POINT (-77.2623 39.1801)
2646,WESTERN MARKET,4840 WESTERN AVE.,,Bethesda,20816,2023-02-09,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,"WESTERN MARKET, INC.",Market,Food,38.9527,-77.0965,POINT (-77.0965 38.9527)
37037,ZANE JAPANESE EATERY,19833 CENTURY BLVD,,Germantown,20874,2023-02-09,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,KIN SEN LLC,Restaurant,Food,39.1812,-77.2665,POINT (-77.2665 39.1812)
46876,LADUREE- PUSH CART,7101 DEMOCRACY BLVD,,Bethesda,20817,2023-02-06,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,LADUREE DMV LLC,Market,Food,39.0243,-77.146,POINT (-77.146 39.0243)
27807,CHEESECAKE FACTORY,7101 DEMOCRACY BLVD,,Bethesda,20817,2023-02-03,Facility Closed,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,THE CHEESECAKE FACTORY RESTAURANT,Restaurant,Food,39.025,-77.1483,POINT (-77.1483 39.025)
32848,CHESAPEAKE FARMHOUSE,19801 DARNESTOWN RD,,Beallsville,20839,2023-02-01,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,WALTER J. BROWN,Market,Food,39.1796,-77.413,POINT (-77.413 39.1796)
19043,LIN'S CHINESE RESTAURANT,734 CLOVERLY ST.,,Silver Spring,20905,2023-02-01,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,LING ZHI CHEN,Restaurant,Food,39.1095,-76.9954,POINT (-76.9954 39.1095)
46873,KENTLANDS PHOTOGRAPHY CAFE,309 MAIN ST,,Gaithersburg,20878,2023-01-31,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Visit/No Action,JASON DEMOS,Market,Food,39.1215,-77.2388,POINT (-77.2388 39.1215)
30600,EDIBLE ARRANGEMENTS,76 MARKET ST,,Gaithersburg,20878,2023-01-30,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Visit/No Action,SHAZ CAPITAL CONSULTING LLC,Market,Food,39.1243,-77.2342,POINT (-77.2342 39.1243)
1885,PAUL KEE RESTAURANT,11305 GEORGIA AVE.,,Wheaton,20902,2023-01-20,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,Out of Compliance,In Compliance,Monitoring,"CWL RESTAURANT CO., LLC",Restaurant,Food,39.0406,-77.0511,POINT (-77.0511 39.0406)
30114,GRILL KABOB,11160 VEIRS MILL RD,,Silver Spring,20902,2023-01-18,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,GRILL KABOB OF WHEATON INC,Restaurant,Food,39.037,-77.0539,POINT (-77.0539 39.037)
1221,HUNG PHAT,11315 FERN ST,,Wheaton,20902,2023-01-10,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,UNG GROUP INC,Market,Food,39.0407,-77.0491,POINT (-77.0491 39.0407)
17453,KENNY'S SUB SHOP,11210 GEORGIA AVE.,,Wheaton,20902,2023-01-04,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,Out of Compliance,Out of Compliance,Reinspection,"KENNY'S SUB SHOP, INC.",Restaurant,Food,39.0389,-77.0513,POINT (-77.0513 39.0389)
29969,MOBY DICK HOUSE OF KABOB,9812 FALLS RD,# B,Potomac,20854,2023-01-04,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MOBY DICK POTOMAC INC,Restaurant,Food,39.0172,-77.2107,POINT (-77.2107 39.0172)
2202,PHO WHEATON & BANH MI,11232 GRANDVIEW AVE.,,Wheaton,20902,2023-01-04,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"SAIGONESE RESTAURANT, INC.",Restaurant,Food,39.0394,-77.0528,POINT (-77.0528 39.0394)
23540,QUICKWAY JAPANESE HIBACHI,566 N. FREDERICK AVE.,,Gaithersburg,20877,2022-12-25,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,BIN LIANG,Restaurant,Food,39.1485,-77.2102,POINT (-77.2102 39.1485)
21383,GIL'S RESTAURANT,8200 PINEY BRANCH RD.,,Silver Spring,20910,2022-12-21,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,GIL'S RESTAURANT LLP,Restaurant,Food,38.9931,-77.0097,POINT (-77.0097 38.9931)
29751,PAN LOURDES BAKERY,11210 TRIANGLE LANE,,Wheaton,21061,2022-12-16,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MARIA SALGADO,Market,Food,39.0389,-77.0515,POINT (-77.0515 39.0389)
32907,FRATERNAL ORDER OF EAGLES # 3509,19201 FREDERICK RD,,Germantown,20876,2022-12-15,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,FRATERNAL ORDER OF EAGLES # 3509,Non-Profit,Food,39.1703,-77.2349,POINT (-77.2349 39.1703)
22734,EL SABOR LATINO BAKERY AND CATERING,11413 GRANDVIEW AVE.,,Silver Spring,20902,2022-12-14,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,EMCFOOD VENTURES INC,Caterer,Food,39.0419,-77.0529,POINT (-77.0529 39.0419)
20323,NAVA THAI,11301 FERN ST,,Silver Spring,20902,2022-12-08,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,NAVA THAI RESTAURANT INC,Restaurant,Food,39.0403,-77.0493,POINT (-77.0493 39.0403)
41020,CARMEN'S TRUE ALL NATURAL DELI,"2514 W UNIVERSITY BLVD,",,Silver Spring,20902,2022-12-07,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CARMEN'S TRUE ALL NATURAL DELI,Restaurant,Food,39.0412,-77.0523,POINT (-77.0523 39.0412)
11471,MAMMA LUCIA - OLNEY,18224 VILLAGE CENTER  DR.,,Olney,20832,2022-12-07,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MAMMA LUCIA OF OLNEY,Restaurant,Food,39.1539,-77.0646,POINT (-77.0646 39.1539)
17453,KENNY'S SUB SHOP,11210 GEORGIA AVE.,,Wheaton,20902,2022-12-06,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Visit/No Action,"KENNY'S SUB SHOP, INC.",Restaurant,Food,39.0389,-77.0513,POINT (-77.0513 39.0389)
17453,KENNY'S SUB SHOP,11210 GEORGIA AVE.,,Wheaton,20902,2022-12-01,Facility Closed,In Compliance,Out of Compliance,Out of Compliance,Out of Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,Out of Compliance,Out of Compliance,Complaint Invest w/Comprehensive,"KENNY'S SUB SHOP, INC.",Restaurant,Food,39.0389,-77.0513,POINT (-77.0513 39.0389)
38517,HUNAN DELIGHT,18220 VILLAGE CENTER DR.,,Olney,20832,2022-11-29,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Reinspection,HUNAN DELIGHT 1688 LLC,Restaurant,Food,39.1538,-77.0646,POINT (-77.0646 39.1538)
372,BURGER KING #2143,16004 SHADY GROVE RD.,,Gaithersburg,20877,2022-11-28,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,POTOMAC FOODS COMPANY II LLC,Restaurant,Food,39.1199,-77.1823,POINT (-77.1823 39.1199)
19302,CVS/PHARMACY #1445,360 HUNGERFORD DR,,Rockville,20850,2022-11-23,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"MARYLAND CVS PHARMACY, LLC.",,Food,39.0871,-77.1502,POINT (-77.1502 39.0871)
19130,STARBUCKS COFFEE #10240,39-B MARYLAND AVE.,,Rockville,20850,2022-11-23,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,STARBUCKS CORP LICENSE SERVICE,Restaurant,Food,39.0853,-77.1515,POINT (-77.1515 39.0853)
39541,EL NAZARENO LATIN MARKET,19609 FREDERICK RD,,Germantown,20876,2022-11-10,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,EL NAZARENO LATIN MARKET INC,Restaurant,Food,39.1782,-77.2381,POINT (-77.2381 39.1782)
2763,SUBWAY,8040 13TH ST.,,Silver Spring,20910,2022-11-10,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,"SILVER HOSPITALITY, INC.",Restaurant,Food,38.9872,-77.0295,POINT (-77.0295 38.9872)
37289,BANGKOK GARDEN,891-D ROCKVILLE PIKE,,Rockville,20852,2022-11-07,Facility Closed,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,V&Y FOOD LLC,Restaurant,Food,39.0744,-77.137,POINT (-77.137 39.0744)
35610,BANANA LEAVES ASIAN CAFE,160 CONGRESSIONAL LANE,,Rockville,20852,2022-11-01,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,BANANA LEAVES ASIAN CAFE LLC,Restaurant,Food,39.0625,-77.1279,POINT (-77.1279 39.0625)
33393,BUTLER'S ORCHARD SEASONAL FESTIVAL KITCHEN,22200 DAVIS MILL RD,,Germantown,20876,2022-10-28,Facility Closed,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,WADE BUTLER /BUTLER'S ORCHARD,Market,Food,39.22,-77.2224,POINT (-77.2224 39.22)
38458,CREPE LENA ICE CREAM,11160 VEIRS MILL RD,#9244,Silver Spring,20902,2022-10-27,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,YASSIR ABDALLA,Market,Food,39.037,-77.0539,POINT (-77.0539 39.037)
36881,RICOTON,9871 MAIN ST,,Damascus,20872,2022-10-26,Facility Closed,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,RICOTON LLC,Market,Food,39.2886,-77.2033,POINT (-77.2033 39.2886)
27693,PHO TAN VINH,8705 COLESVILLE RD,STE A,Silver Spring,20910,2022-10-25,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,TAN VINH CORP,Restaurant,Food,38.9978,-77.0266,POINT (-77.0266 38.9978)
36866,KOKEE CAFE,11160 VEIRS MILL RD,,Silver Spring,20902,2022-10-14,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,KOKEE TEA,Restaurant,Food,39.037,-77.0539,POINT (-77.0539 39.037)
26607,CENTRONIA,1345 UNIVERSITY BLVD E,,Takoma Park,20912,2022-10-11,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CENTRO NIA INC,,Food,38.9869,-76.9853,POINT (-76.9853 38.9869)
1628,MEE SHANE RESTAURANT,11 OLNEY SANDY SPRING RD.,,Ashton,20861,2022-10-10,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MEE SHANE CORP,Restaurant,Food,39.15,-77.0131,POINT (-77.0131 39.15)
